Date,Company,Studio,Project,Category,Country,Country_code,OS,Counterparty,Amount_USD
2021-01-31,White,White1,Whiteberry,Mobile IAP,USA,USA,Andriod,Moogle,236250.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Andriod,Moogle,10125.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,China,CHN,Andriod,Moogle,23625.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Andriod,Moogle,13500.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Andriod,Moogle,3375.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Andriod,Moogle,6750.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Andriod,Moogle,10125.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Andriod,Moogle,6750.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,France,FRA,Andriod,Moogle,6750.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Andriod,Moogle,16875.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Andriod,Moogle,3375.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,USA,USA,iOS,Banana Store,189000.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,iOS,Banana Store,8100.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,China,CHN,iOS,Banana Store,18900.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,iOS,Banana Store,10800.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,iOS,Banana Store,2700.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,iOS,Banana Store,5400.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,iOS,Banana Store,8100.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,iOS,Banana Store,5400.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,France,FRA,iOS,Banana Store,5400.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,iOS,Banana Store,13500.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,iOS,Banana Store,2700.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,USA,USA,Amazon,Mamazon,47250.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Amazon,Mamazon,2025.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,China,CHN,Amazon,Mamazon,4725.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Amazon,Mamazon,2700.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Amazon,Mamazon,675.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Amazon,Mamazon,1350.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Amazon,Mamazon,2025.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Amazon,Mamazon,1350.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,France,FRA,Amazon,Mamazon,1350.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Amazon,Mamazon,3375.0
2021-01-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Amazon,Mamazon,675.0
2021-02-28,White,White1,Whiteberry,Mobile IAP,USA,USA,Andriod,Moogle,459112.5
2021-02-28,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Andriod,Moogle,19676.25
2021-02-28,White,White1,Whiteberry,Mobile IAP,China,CHN,Andriod,Moogle,45911.25
2021-02-28,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Andriod,Moogle,26235.0
2021-02-28,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Andriod,Moogle,6558.75
2021-02-28,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Andriod,Moogle,13117.5
